Geneid	0_R1	0_R2	10_R1	10_R2	35_R1	35_R2	Entity	Symbol	mean_counts
gene-PA5547	11	11	1	2	1	2	host	gene-PA5547	4.666666666666667
gene-PA1866a	1	4	0	0	0	0	host	gene-PA1866a	0.8333333333333334
gene-PA4876	7	1	0	1	0	0	host	osmE	1.5
gene-PA2800	10	39	8	6	8	9	host	gene-PA2800	13.333333333333334
gene-PA2450	4	8	0	1	1	3	host	gene-PA2450	2.8333333333333335
gene-PA4452	13	24	0	0	0	0	host	gene-PA4452	6.166666666666667
gene-PA4977	31	5	2	0	1	0	host	aruI	6.5
gene-PA0627	3	1	2	0	1	2	host	gene-PA0627	1.5
gene-PA3490	1	0	0	0	0	0	host	gene-PA3490	0.16666666666666666
gene-PA4587	4	1	5	3	0	0	host	ccpR	2.1666666666666665
gene-PA3095	3	0	0	0	0	2	host	xcpZ	0.8333333333333334
gene-PA5342	3	4	5	60	2	49	host	gene-PA5342	20.5
gene-PA1196	8	2	0	0	0	0	host	gene-PA1196	1.6666666666666667
gene-PA3486	24	18	0	0	5	2	host	gene-PA3486	8.166666666666666
gene-PA2442	3	0	0	0	0	0	host	gcvT2	0.5
gene-PA1847	13	41	43	50	38	37	host	gene-PA1847	37.0
gene-PA0334	13	10	2	3	4	2	host	gene-PA0334	5.666666666666667
gene-PA5082	14	4	2	3	0	4	host	gene-PA5082	4.5
gene-PA2716	3	4	1	3	2	0	host	gene-PA2716	2.1666666666666665
gene-PA5167	22	7	6	5	8	2	host	gene-PA5167	8.333333333333334
gene-PA2172	3	2	0	0	1	0	host	gene-PA2172	1.0
gene-PA4769	12	28	1	2	0	1	host	gene-PA4769	7.333333333333333
gene-PA3619	8	8	1	3	0	0	host	gene-PA3619	3.3333333333333335
gene-PA4065	23	8	0	0	1	1	host	gene-PA4065	5.5
gene-PA5196	11	4	0	0	0	0	host	gene-PA5196	2.5
gene-PA2705	8	9	1	1	0	2	host	gene-PA2705	3.5
gene-PA1842	1	4	0	0	0	0	host	gene-PA1842	0.8333333333333334
gene-PA1703	14	63	2	2	2	0	host	pcrD	13.833333333333334
gene-PA0146	16	4	0	0	1	0	host	gene-PA0146	3.5
gene-PA0157	11	4	1	2	6	5	host	gene-PA0157	4.833333333333333
gene-PA4044	36	58	1	0	1	0	host	dxs	16.0
gene-PHIKZ257	2	1	6895	6520	5510	5304	phage	gene-PHIKZ257	4038.6666666666665
gene-PA0309	3	6	1	0	1	0	host	gene-PA0309	1.8333333333333333
gene-PA2438	5	4	0	0	0	0	host	gene-PA2438	1.5
gene-PA2449	10	10	1	1	2	1	host	gene-PA2449	4.166666666666667
gene-PA3724	16	25	0	0	0	0	host	lasB	6.833333333333333
gene-PA3734	20	12	0	1	0	1	host	gene-PA3734	5.666666666666667
gene-PA0391	25	18	2	0	1	1	host	gene-PA0391	7.833333333333333
gene-PA4183	0	1	0	0	0	0	host	gene-PA4183	0.16666666666666666
gene-PA0740	16	4	0	1	3	5	host	sdsA1	4.833333333333333
gene-PA2592	7	19	1	2	0	0	host	gene-PA2592	4.833333333333333
gene-PA0316	24	46	2	2	5	5	host	serA	14.0
gene-PA1879	0	2	0	0	1	1	host	gene-PA1879	0.6666666666666666
gene-PA3167	9	43	8	6	6	5	host	serC	12.833333333333334
gene-PA5559	25	116	19	21	15	12	host	atpE	34.666666666666664
gene-PA4943	38	131	15	14	11	7	host	gene-PA4943	36.0
gene-PA0487	4	5	0	0	0	0	host	gene-PA0487	1.5
gene-PA0112	16	3	0	0	2	3	host	gene-PA0112	4.0
gene-PA2654	12	14	0	1	2	2	host	gene-PA2654	5.166666666666667
gene-PA2570	2	6	0	0	0	1	host	lecA	1.5
gene-PA4576	26	28	6	8	4	3	host	gene-PA4576	12.5
gene-PA3269	8	6	0	0	1	0	host	gene-PA3269	2.5
gene-PA3511	3	0	0	0	0	0	host	gene-PA3511	0.5
gene-PA5269	4	2	1	1	1	1	host	gene-PA5269	1.6666666666666667
gene-PA5440	15	6	0	4	2	5	host	gene-PA5440	5.333333333333333
gene-PA4559	9	29	0	0	0	0	host	lspA	6.333333333333333
gene-PA1145	6	4	0	0	1	0	host	gene-PA1145	1.8333333333333333
gene-PA3730	16	10	1	1	2	2	host	gene-PA3730	5.333333333333333
gene-PA5543	3	1	0	0	1	0	host	gene-PA5543	0.8333333333333334
gene-PA5230	23	8	0	1	2	2	host	gene-PA5230	6.0
gene-PA5373	20	27	50	54	91	99	host	betB	56.833333333333336
gene-PA2130	9	5	0	0	1	0	host	cupA3	2.5
gene-PHIKZ116	3	0	1356	1347	651	633	phage	gene-PHIKZ116	665.0
gene-PA5113	11	9	1	2	1	0	host	gene-PA5113	4.0
gene-PA0406	19	20	0	0	1	0	host	tonB3	6.666666666666667
gene-PHIKZ_p23	0	1	359	304	167	140	phage	gene-PHIKZ_p23	161.83333333333334
gene-PA1032	12	35	0	0	1	1	host	quiP	8.166666666666666
gene-PA2374	4	1	0	1	0	0	host	gene-PA2374	1.0
gene-PA2721	2	1	1	0	1	0	host	gene-PA2721	0.8333333333333334
gene-PHIKZ250	1	1	2818	3134	1485	1528	phage	gene-PHIKZ250	1494.5
gene-PA0206	17	5	0	0	0	1	host	gene-PA0206	3.8333333333333335
gene-PHIKZ240	0	0	16199	15521	9014	9028	phage	gene-PHIKZ240	8293.666666666666
gene-PA0661	3	5	15	15	39	32	host	gene-PA0661	18.166666666666668
gene-PA1552	13	65	13	14	16	15	host	ccoP1	22.666666666666668
gene-PA3048	9	34	0	1	1	0	host	gene-PA3048	7.5
gene-PA4150	11	1	0	0	1	2	host	gene-PA4150	2.5
gene-PA0447	15	11	2	1	0	2	host	gcdH	5.166666666666667
gene-PA3147	12	42	42	42	24	26	host	wbpJ	31.333333333333332
gene-PA5296	38	47	7	4	13	10	host	rep	19.833333333333332
gene-PA2027	1	0	0	0	0	0	host	gene-PA2027	0.16666666666666666
gene-PA1151	22	109	29	41	24	25	host	imm2	41.666666666666664
gene-PA1200	4	8	0	0	0	1	host	gene-PA1200	2.1666666666666665
gene-PA3912	4	2	0	0	0	0	host	gene-PA3912	1.0
gene-PA3943	23	6	1	0	3	1	host	gene-PA3943	5.666666666666667
gene-PA4560	22	79	8	6	9	9	host	ileS	22.166666666666668
gene-PA5293	14	2	0	0	2	1	host	gene-PA5293	3.1666666666666665
gene-PA0020	25	29	4	6	14	15	host	gene-PA0020	15.5
gene-PA0585	6	2	4	12	5	13	host	gene-PA0585	7.0
gene-PA5044	16	68	5	8	6	7	host	pilM	18.333333333333332
gene-PA3530	6	18	1	1	1	2	host	gene-PA3530	4.833333333333333
gene-PA1775	15	88	27	25	15	13	host	cmpX	30.5
gene-PA1116	8	16	8	12	5	6	host	gene-PA1116	9.166666666666666
gene-PA0460	7	2	0	0	0	1	host	gene-PA0460	1.6666666666666667
gene-PA5148	10	12	12	17	8	5	host	gene-PA5148	10.666666666666666
gene-PA1693	6	10	1	1	1	0	host	pscR	3.1666666666666665
gene-PA2204	5	3	0	0	0	0	host	gene-PA2204	1.3333333333333333
gene-PA0590	8	14	2	6	10	7	host	apaH	7.833333333333333
gene-PA3630	9	8	0	1	1	1	host	gfnR	3.3333333333333335
gene-PA3004	9	5	1	0	4	4	host	gene-PA3004	3.8333333333333335
gene-PA0411	43	83	67	51	60	47	host	pilJ	58.5
gene-PA3507	3	1	1	0	1	1	host	gene-PA3507	1.1666666666666667
gene-PA2219	5	3	0	0	4	0	host	opdE	2.0
gene-PA0586	19	12	14	18	14	19	host	gene-PA0586	16.0
gene-PA1217	16	5	0	0	0	0	host	gene-PA1217	3.5
gene-PA0424	7	10	1	2	3	3	host	mexR	4.333333333333333
gene-PA5226	12	30	15	12	20	18	host	gene-PA5226	17.833333333333332
gene-PA0692	9	3	10	31	16	21	host	gene-PA0692	15.0
gene-PA4443	10	12	25	28	17	16	host	cysD	18.0
gene-PA0075	6	3	1	0	1	1	host	pppA	2.0
gene-PA0608	7	6	1	3	2	1	host	gene-PA0608	3.3333333333333335
gene-PHIKZ_p05	0	0	51	47	1413	1744	phage	gene-PHIKZ_p05	542.5
gene-PA3696	8	3	0	0	5	3	host	gene-PA3696	3.1666666666666665
gene-PA1524	7	5	0	0	0	1	host	xdhA	2.1666666666666665
gene-PA2736	5	26	28	23	29	26	host	gene-PA2736	22.833333333333332
gene-PA4671	81	360	160	166	108	93	host	gene-PA4671	161.33333333333334
gene-PHIKZ288	2	2	6151	5823	3836	3654	phage	gene-PHIKZ288	3244.6666666666665
gene-PA4091	13	6	0	0	0	0	host	hpaA	3.1666666666666665
gene-PA3981	28	38	14	12	16	9	host	gene-PA3981	19.5
gene-PA3275	4	3	0	0	0	0	host	gene-PA3275	1.1666666666666667
gene-PA3543	5	8	1	0	1	1	host	algK	2.6666666666666665
gene-PA1505	3	8	0	0	0	0	host	moaA2	1.8333333333333333
gene-PA3694	5	4	0	0	0	0	host	gene-PA3694	1.5
gene-PA4456	26	88	4	15	5	19	host	gene-PA4456	26.166666666666668
gene-PA2295	4	3	0	0	1	0	host	gene-PA2295	1.3333333333333333
gene-PA5474	16	10	1	1	0	1	host	gene-PA5474	4.833333333333333
gene-PA1645	3	2	0	0	0	0	host	gene-PA1645	0.8333333333333334
gene-PA0919	7	12	0	0	0	0	host	gene-PA0919	3.1666666666666665
gene-PA2476	2	3	0	0	0	0	host	dsbG	0.8333333333333334
gene-PA4975	8	4	0	0	2	1	host	gene-PA4975	2.5
gene-PA2954	2	3	0	0	0	0	host	gene-PA2954	0.8333333333333334
gene-PA3283	7	2	4	5	1	3	host	gene-PA3283	3.6666666666666665
gene-PA1473	1	1	0	0	0	0	host	gene-PA1473	0.3333333333333333
gene-PA5281	8	5	0	0	0	0	host	gene-PA5281	2.1666666666666665
gene-PA2428	4	2	0	0	2	0	host	gene-PA2428	1.3333333333333333
gene-PA1555.1	2	4	3	6	7	4	host	ccoQ2	4.333333333333333
gene-PA0552	24	22	5	2	0	0	host	pgk	8.833333333333334
gene-PA5314	2	7	2	1	0	0	host	gene-PA5314	2.0
gene-PA3318	2	2	0	0	0	0	host	gene-PA3318	0.6666666666666666
gene-PA2594	3	6	0	1	0	0	host	gene-PA2594	1.6666666666666667
gene-PA5150	19	13	2	0	2	0	host	gene-PA5150	6.0
gene-PA4220	4	2	0	0	0	0	host	gene-PA4220	1.0
gene-PA2383	7	2	0	0	0	0	host	gene-PA2383	1.5
gene-PA0577	35	54	56	58	49	44	host	dnaG	49.333333333333336
gene-PA0547	27	82	4	3	0	0	host	gene-PA0547	19.333333333333332
gene-PA3224	4	6	23	27	25	17	host	gene-PA3224	17.0
gene-PA1796.3	18	137	1	0	0	0	host	gene-PA1796.3	26.0
gene-PA0214	10	1	0	0	0	0	host	gene-PA0214	1.8333333333333333
gene-PA1990	7	2	0	0	4	3	host	pqqH	2.6666666666666665
gene-PA4727	16	32	15	19	14	21	host	pcnB	19.5
gene-PA4894	7	0	0	0	0	0	host	gene-PA4894	1.1666666666666667
gene-PA3414	6	2	1	0	0	0	host	gene-PA3414	1.5
gene-PA5157	8	4	0	0	0	0	host	gene-PA5157	2.0
gene-PA0515	5	3	0	0	0	0	host	gene-PA0515	1.3333333333333333
gene-PA5536	6	2	0	0	0	0	host	gene-PA5536	1.3333333333333333
gene-PA4046	7	6	0	1	2	0	host	gene-PA4046	2.6666666666666665
gene-PA2950	15	63	13	10	12	4	host	gene-PA2950	19.5
gene-PA3412	0	1	0	0	0	0	host	gene-PA3412	0.16666666666666666
gene-PA0739	7	3	0	0	0	0	host	gene-PA0739	1.6666666666666667
gene-PA2576	4	2	0	0	2	0	host	gene-PA2576	1.3333333333333333
gene-PA1947	4	6	0	0	1	1	host	rbsA	2.0
gene-PA2191	9	20	0	1	3	2	host	exoY	5.833333333333333
gene-PA1015	9	8	6	3	1	2	host	gene-PA1015	4.833333333333333
gene-PA0941	3	2	0	1	1	0	host	gene-PA0941	1.1666666666666667
gene-PA5041	10	20	9	7	5	4	host	pilP	9.166666666666666
gene-PA0468	7	6	0	0	0	0	host	gene-PA0468	2.1666666666666665
gene-PA5171	25	13	14	14	5	6	host	arcA	12.833333333333334
gene-PA1746	1	1	0	0	0	0	host	gene-PA1746	0.3333333333333333
gene-PHIKZ195	0	0	1506	1349	3436	3579	phage	gene-PHIKZ195	1645.0
gene-PHIKZ_p02	0	0	525	454	498	495	phage	gene-PHIKZ_p02	328.6666666666667
gene-PA5384	6	1	0	3	0	0	host	gene-PA5384	1.6666666666666667
gene-PA3032	12	11	2	0	1	4	host	snr1	5.0
gene-PA3815	9	56	4	6	11	10	host	iscR	16.0
gene-PA4231	7	5	6	4	1	5	host	pchA	4.666666666666667
gene-PHIKZ_p77	0	0	575	436	166	168	phage	gene-PHIKZ_p77	224.16666666666666
gene-PA4630	5	5	1	1	1	0	host	gene-PA4630	2.1666666666666665
gene-PA5087	10	17	40	40	43	38	host	gene-PA5087	31.333333333333332
gene-PA5515	8	13	0	0	0	0	host	gene-PA5515	3.5
gene-PA5519	6	8	3	4	3	2	host	gene-PA5519	4.333333333333333
gene-PA0479	9	1	0	0	0	0	host	gene-PA0479	1.6666666666666667
gene-PA5273	10	3	1	0	1	2	host	gene-PA5273	2.8333333333333335
gene-PA3036	9	3	0	0	0	0	host	gene-PA3036	2.0
gene-PA1585	23	105	59	62	38	36	host	sucA	53.833333333333336
gene-PA1907	8	2	2	0	0	1	host	gene-PA1907	2.1666666666666665
gene-PA5219	17	6	3	3	2	2	host	gene-PA5219	5.5
gene-PA5240	69	232	34	35	88	80	host	trxA	89.66666666666667
gene-PA0425	18	27	0	1	3	3	host	mexA	8.666666666666666
gene-PA5227	4	14	10	10	14	12	host	gene-PA5227	10.666666666666666
gene-PA4531	2	3	0	0	0	0	host	gene-PA4531	0.8333333333333334
gene-PA2815	10	5	2	2	1	8	host	gene-PA2815	4.666666666666667
gene-PA3338	0	3	1	0	0	0	host	gene-PA3338	0.6666666666666666
gene-PA2515	3	3	0	0	1	0	host	xylL	1.1666666666666667
gene-PA2874	3	3	0	0	0	0	host	gene-PA2874	1.0
gene-PA0536	11	10	0	0	0	0	host	gene-PA0536	3.5
gene-PA3263	11	9	3	3	4	1	host	gene-PA3263	5.166666666666667
gene-PA3927	5	4	2	0	1	1	host	gene-PA3927	2.1666666666666665
gene-PA3675	6	7	8	4	5	1	host	gene-PA3675	5.166666666666667
gene-PA4588	16	10	0	2	1	1	host	gdhA	5.0
gene-PA3206	7	8	0	0	2	2	host	gene-PA3206	3.1666666666666665
gene-PA0774	5	15	0	0	1	0	host	gene-PA0774	3.5
gene-PA3956	10	5	0	0	0	1	host	gene-PA3956	2.6666666666666665
gene-PA0028	4	3	0	0	0	0	host	gene-PA0028	1.1666666666666667
gene-PA2071	14	11	2	2	1	1	host	fusA2	5.166666666666667
gene-PA2338	13	4	2	0	0	0	host	gene-PA2338	3.1666666666666665
gene-PA3249	4	3	0	0	0	0	host	gene-PA3249	1.1666666666666667
gene-PA4110	13	10	0	1	0	0	host	ampC	4.0
gene-PA3242	14	19	5	5	2	2	host	gene-PA3242	7.833333333333333
gene-PA0294	8	4	0	0	1	1	host	aguR	2.3333333333333335
gene-PA2047	3	3	0	0	0	1	host	gene-PA2047	1.1666666666666667
gene-PA2388	4	22	1	1	1	3	host	fpvR	5.333333333333333
gene-PA3826	1	14	1	1	0	1	host	gene-PA3826	3.0
gene-PA2852	4	15	0	0	0	0	host	gene-PA2852	3.1666666666666665
gene-PA4999	18	44	13	13	8	4	host	waaL	16.666666666666668
gene-PA4696	15	52	94	105	154	152	host	ilvI	95.33333333333333
gene-PA4470	11	4	1	0	2	1	host	fumC1	3.1666666666666665
gene-PHIKZ286	0	1	5356	5269	4292	4154	phage	gene-PHIKZ286	3178.6666666666665
gene-PA3936	12	2	0	2	1	2	host	gene-PA3936	3.1666666666666665
gene-PA0556	1	6	0	0	0	0	host	gene-PA0556	1.1666666666666667
gene-PA1354	3	1	0	0	0	0	host	gene-PA1354	0.6666666666666666
gene-PA1657	3	1	0	0	0	0	host	gene-PA1657	0.6666666666666666
gene-PA2137	1	0	0	0	0	0	host	gene-PA2137	0.16666666666666666
gene-PA3560	16	16	0	0	2	3	host	fruA	6.166666666666667
gene-PA5198	13	7	19	5	38	11	host	gene-PA5198	15.5
gene-PA3321	6	3	0	0	1	0	host	gene-PA3321	1.6666666666666667
gene-PA4464	2	15	62	68	45	31	host	ptsN	37.166666666666664
gene-PA2782	3	3	0	0	1	0	host	gene-PA2782	1.1666666666666667
gene-PA3946	45	26	1	1	6	3	host	rocS1	13.666666666666666
gene-PA0688	9	9	75	88	118	142	host	gene-PA0688	73.5
